Species(Blue),chlSab2,otoGar3,rheMac3,,Species(Brown,chiLan1,hetGla2,ochPri3
chlSab2,0,1.111044056,0.191849696,,chiLan1,0,0.964392133,2.196668458
otoGar3,1.111044056,0,1.129593225,,hetGla2,0.964392133,0,2.711942959
rheMac3,0.191849696,1.129593225,0,,ochPri3,2.196668458,2.711942959,0
,,,,,,,,
Species(Green),canFam3,eptFus1,felCat8,,Species(Orange),chrAsi1,echTel2,eleEdw1
canFam3,0,0.19029096,0,,chrAsi1,0,1.735829066,2.043679342
eptFus1,0.19029096,0,0.928056426,,echTel2,1.735829066,0,2.482836241
felCat8,0,0.928056426,0,,eleEdw1,2.043679342,2.482836241,0
,,,,,,,,
Species(Pink),anaPla1,falChe1,rheMac3,,Species(Red),jacJac1,mesAur1,speTri2
anaPla1,0,3.313146233,10.31845238,,jacJac1,0,1.818363606,1.908871662
falChe1,3.313146233,0,8.64516129,,mesAur1,1.818363606,0,1.735547956
rheMac3,10.31845238,8.64516129,0,,speTri2,1.908871662,1.735547956,0
