Species(Blue),chlSab2,otoGar3,rheMac3,,Species(Green),canFam3,eptFus1,felCat8
chlSab2,0,0.060802655,0.024080445,,canFam3,0,0.022249883,0.03406326
otoGar3,0.060802655,0,0.063057614,,eptFus1,0.022249883,0,0.021630094
rheMac3,0.024080445,0.063057614,0,,felCat8,0.03406326,0.021630094,0
,,,,,,,,
Species(Orange),chrAsi1,echTel2,eleEdw1,,Species(Pink),anaPla1,falChe1,rheMac3
chrAsi1,0,0.007593149,0.012504282,,anaPla1,0,0.308714919,0.505952381
echTel2,0.007593149,0,0.036578503,,falChe1,0.308714919,0,0.381336406
eleEdw1,0.012504282,0.036578503,0,,rheMac3,0.505952381,0.381336406,0
,,,,,,,,
Species(Red),jacJac1,mesAur1,speTri2,,Species(Brown),chiLan1,hetGla2,ochPri3
jacJac1,0,0.051658057,0.077691645,,chiLan1,0,0.039332539,0.047644636
mesAur1,0.051658057,0,0.054062856,,hetGla2,0.039332539,0,0.055793226
speTri2,0.077691645,0.054062856,0,,ochPri3,0.047644636,0.055793226,0
