Species(Blue),chlSab2,otoGar3,rheMac3,,Species(Brown),chiLan1,hetGla2,ochPri3
chlSab2,0,0.206737057,0.023655131,,chiLan1,0,0.220991694,0.403044749
otoGar3,0.206737057,0,0.200025473,,hetGla2,0.220991694,0,0.355245041
rheMac3,0.023655131,0.200025473,0,,ochPri3,0.403044749,0.355245041,0
,,,,,,,,
Species(Green),canFam3,eptFus1,felCat8,,Species(Orange),chrAsi1,echTel2,eleEdw1
canFam3,0,0.222945131,0.169089131,,chrAsi1,0,0.258063149,0.305741315
eptFus1,0.222945131,0,0.219883041,,echTel2,0.258063149,0,0.337020864
felCat8,0.169089131,0.219883041,0,,eleEdw1,0.305741315,0.337020864,0
,,,,,,,,
Species(Pink),anaPla1,falChe1,rheMac3,,Species(Red),jacJac1,mesAur1,speTri2
anaPla1,0,0.299747262,0.521399055,,jacJac1,0,0.275437584,0.288015938
falChe1,0.299747262,0,0.545765287,,mesAur1,0.275437584,0,0.275461807
rheMac3,0.521399055,0.545765287,0,,speTri2,0.288015938,0.275461807,0
