Species(Blue),chlSab2,otoGar3,rheMac3,,Species(Brown),chiLan1,hetGla2,ochPri3
chlSab2,0,0.151327701,0.008070918,,chiLan1,0,0.1068236,0.284793122
otoGar3,0.151327701,0,0.152124603,,hetGla2,0.1068236,0,0.280748663
rheMac3,0.008070918,0.152124603,0,,ochPri3,0.284793122,0.280748663,0
,,,,,,,,
Species(Green),canFam3,eptFus1,felCat8,,Species(Orange),chrAsi1,echTel2,eleEdw1
canFam3,0,0.170374981,0.085730643,,chrAsi1,0,0.212608158,0.249571771
eptFus1,0.170374981,0,0.178683386,,echTel2,0.212608158,0,0.295254174
felCat8,0.085730643,0.178683386,0,,eleEdw1,0.249571771,0.295254174,0
,,,,,,,,
Species(Pink),anaPla1,falChe1,rheMac3,,Species(Red),jacJac1,mesAur1,speTri2
anaPla1,0,0.087149188,0.239583333,,jacJac1,0,0.212631228,0.256503015
falChe1,0.087149188,0,0.294930876,,mesAur1,0.212631228,0,0.213645986
rheMac3,0.239583333,0.294930876,0,,speTri2,0.256503015,0.213645986,0
