Species(Blue),chlSab2,otoGar3,rheMac3,,Species(Green),canFam3,eptFus1,felCat8
chlSab2,0,0.151327701,0.008070918,,canFam3,0,0.170374981,0.085730643
otoGar3,0.151327701,0,0.152124603,,eptFus1,0.170374981,0,0.178683386
rheMac3,0.008070918,0.152124603,0,,felCat8,0.085730643,0.178683386,0
,,,,,,,,
 Species(Orange),chrAsi1,echTel2,eleEdw1,,Species(Pink),anaPla1,falChe1,rheMac3
chrAsi1,0,0.212608158,0.249571771,,anaPla1,0,0.087149188,0.239583333
echTel2,0.212608158,0,0.295254174,,falChe1,0.087149188,0,0.294930876
eleEdw1,0.249571771,0.295254174,0,,rheMac3,0.239583333,0.294930876,0
,,,,,,,,
Species(Red),jacJac1,mesAur1,speTri2,,Species(Brown,chiLan1,hetGla2,ochPri3
jacJac1,0,0.212631228,0.256503015,,chiLan1,0,0.1068236,0.284793122
mesAur1,0.212631228,0,0.213645986,,hetGla2,0.1068236,0,0.280748663
speTri2,0.256503015,0.213645986,0,,ochPri3,0.284793122,0.280748663,0
